epoch,accuracy,loss,val_accuracy,val_loss
0,0.36645448207855225,1.3288910388946533,0.4495677351951599,1.2779055833816528
1,0.6520896553993225,0.9857286810874939,0.6541786789894104,0.9480690360069275
2,0.7893717288970947,0.5781409740447998,0.7031700015068054,0.7680177688598633
3,0.8519235849380493,0.4087505638599396,0.6858789920806885,0.7873955368995667
4,0.8823692202568054,0.3285985589027405,0.7089337110519409,0.8034514784812927
5,0.9031276106834412,0.2671298384666443,0.6829971075057983,0.879253089427948
6,0.9258233904838562,0.21836449205875397,0.6887608170509338,0.9240028858184814
7,0.9393855333328247,0.18607571721076965,0.6772334575653076,0.9763866662979126
8,0.9504566788673401,0.16020339727401733,0.6743515729904175,1.0175079107284546
9,0.9565458297729492,0.13973447680473328,0.6714697480201721,1.075430989265442
10,0.9648491740226746,0.12087205052375793,0.6714697480201721,1.1580332517623901
11,0.9667866230010986,0.11026938259601593,0.6570605039596558,1.1951868534088135
12,0.9706615209579468,0.09890401363372803,0.6628242135047913,1.2494099140167236
13,0.9725989699363708,0.0911768451333046,0.6887608170509338,1.260833501815796
14,0.972875714302063,0.09207073599100113,0.6772334575653076,1.2875393629074097
15,0.975643515586853,0.08313387632369995,0.6829971075057983,1.349107265472412
16,0.973706066608429,0.0812024474143982,0.6887608170509338,1.3846697807312012
17,0.975643515586853,0.07708851248025894,0.6829971075057983,1.3695183992385864
18,0.976473867893219,0.0736740380525589,0.6685879230499268,1.4003018140792847
19,0.977027416229248,0.06974209100008011,0.6714697480201721,1.4696674346923828
20,0.975643515586853,0.0643247738480568,0.6714697480201721,1.5018526315689087
21,0.9781345129013062,0.06669159233570099,0.651296854019165,1.5590275526046753
22,0.9775809645652771,0.06559613347053528,0.6685879230499268,1.5169273614883423
23,0.9773041605949402,0.061250440776348114,0.6685879230499268,1.5566420555114746
24,0.9761970639228821,0.06455311179161072,0.6714697480201721,1.5468815565109253
